ano,id_municipio,tipo_estabelecimento,cnae_2,quantidade_vinculos_ativos,cep,geometry,grupo_cnae
2023,3106200,1,25128,0,31742299,POINT (611272.2099502276 7807547.203473581),C
2023,3106200,1,33139,0,30510200,POINT (605473.8582872158 7794865.271772061),C
2023,3106200,1,33147,0,31620260,POINT (608575.2958040002 7809594.82823316),C
2023,3106200,1,33147,0,31970390,POINT (617214.2367066491 7804396.5330526065),C
2023,3106200,1,13545,0,30660560,POINT (601968.4225630423 7788954.338066882),C
2023,3106200,1,33210,0,31310330,POINT (606708.7571411452 7802638.940950198),C
2023,3106200,1,25420,0,30627172,POINT (602115.4156808543 7788323.917384665),C
2023,3106200,1,18229,0,31150440,POINT (609964.3234360057 7801738.357234959),C
2023,3106200,1,25993,0,30240030,POINT (613127.95541679 7795017.8289129175),C
2023,3106200,1,33210,0,30220400,POINT (613605.8513104632 7794719.926370876),C
2023,3106200,1,22196,0,30710090,POINT (609902.8771121943 7797570.174395533),C
2023,3106200,1,33121,0,30190003,POINT (610017.5978690815 7796838.669406331),C
2023,3106200,1,32922,0,30730440,POINT (606079.3579687728 7797668.464168083),C
2023,3106200,1,33210,0,31260270,POINT (611012.7332965038 7803584.804629499),C
2023,3106200,1,29492,0,31170070,POINT (612390.7159130927 7800107.408285486),C
2023,3106200,1,33147,0,31140040,POINT (611949.553703338 7799305.0119630415),C
2023,3106200,1,10961,0,31050297,POINT (615736.7027224355 7799658.44291842),C
2023,3106200,1,32400,0,30431041,POINT (608069.3279962086 7795508.425063164),C
2023,3106200,1,25993,0,31235130,POINT (608384.971759592 7799565.723217109),C
2023,3106200,1,10929,0,30770180,POINT (607790.7515316736 7798309.891163776),C
2023,3106200,1,33121,0,31615030,POINT (609070.0499423572 7809173.561853591),C
2023,3106200,1,10911,0,30720060,POINT (607417.8990288755 7797487.1735474225),C
2023,3106200,1,11135,0,30390480,POINT (608976.985421198 7789284.505018103),C
2023,3106200,1,10996,0,30690580,POINT (599358.6584405887 7790625.555471882),C
2023,3106200,1,25128,0,30451158,POINT (608448.5988942501 7794131.65574753),C
2023,3106200,1,18229,0,30170130,POINT (611018.0487169141 7797413.578754906),C
2023,3106200,1,25420,0,30662060,POINT (600432.9959300732 7789229.748579523),C
2023,3106200,1,23494,0,30493175,POINT (608186.5799734689 7791116.025116796),C
2023,3106200,1,10996,0,31270350,POINT (609642.6224901137 7803826.005977841),C
2023,3106200,1,18130,0,30882090,POINT (603672.4703820555 7800724.6964452285),C
2023,3106200,1,31021,0,30550190,POINT (606564.5688975231 7794585.971778337),C
2023,3106200,1,28135,0,30640170,POINT (602792.7956346256 7791403.725740176),C
2023,3106200,1,25934,0,30810000,POINT (606748.5182189122 7799645.723718284),C
2023,3106200,1,25390,0,30881110,POINT (602557.5982915929 7799287.203596278),C
2023,3106200,1,18130,0,30640000,POINT (602652.3660664924 7790798.705227359),C
2023,3106200,1,10660,0,30140003,POINT (611802.9756379431 7795934.987776488),C
2023,3106200,1,10538,0,31570200,POINT (606765.028041051 7809549.472898491),C
2023,3106200,1,10996,0,31210140,POINT (610546.0978422954 7797860.602310255),C
2023,3106200,1,33147,0,31742073,POINT (611164.4341298785 7806667.444695249),C
2023,3106200,1,10911,0,30775560,POINT (608040.0659751218 7799213.58394647),C
2023,3106200,1,31012,0,30622020,POINT (605558.4156894133 7789820.821902302),C
2023,3106200,1,33163,0,31270310,POINT (609404.8488701548 7803570.120010533),C
2023,3106200,1,18211,0,31015172,POINT (612060.5692169667 7797815.246722652),C
2023,3106200,1,15319,0,30720310,POINT (607224.4108077529 7797356.898823267),C
2023,3106200,1,18229,0,30220000,POINT (612909.3467211042 7794956.31069012),C
2023,3106200,1,15211,0,30570320,POINT (607840.0519212134 7792726.126230668),C
