,id_domicilio,id_zona,tipologia_domicilio,regime_ocupacao,quantidade_bicicletas,quantidade_motos,quantidade_moradores,quantidade_familias,fator_expansao,quantidade_automoveis,id_municipio
18963,12273,1336,Domicílio Isolado (casa),Própria paga,2,0,4,1,94.58,2,3106200
18964,12274,1336,Domicílio Isolado (casa),Própria paga,0,1,4,1,94.58,1,3106200
18965,12275,1336,Domicílio Isolado (casa),Própria paga,0,0,1,1,94.58,1,3106200
18966,12276,1393,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,51.04,0,3106200
18967,12277,1344,Domicílio Isolado (casa),Cedida ou emprestada,0,0,3,1,53.68,0,3106200
18968,12278,1344,Domicílio Isolado (casa),Cedida ou emprestada,1,0,8,1,53.68,0,3106200
18969,12280,1344,Domicílio Isolado (casa),Própria paga,1,0,1,1,53.68,2,3106200
18970,12281,1344,Domicílio Isolado (casa),Própria paga,0,1,2,1,53.68,0,3106200
18971,12282,1505,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,23.96,0,3106200
18972,9006,2033,Domicílio Isolado (casa),Própria paga,1,0,6,1,62.4,0,3106705
18973,9007,2033,Domicílio Isolado (casa),Própria paga,0,0,6,1,62.4,0,3106705
18974,9008,2034,Domicílio Isolado (casa),Própria paga,0,0,4,1,50.84,0,3106705
18975,9014,2068,Domicílio Isolado (casa),Própria paga,0,0,2,1,25.96,0,3106705
18976,9016,2068,Domicílio Isolado (casa),Própria paga,0,0,5,1,25.96,1,3106705
18977,9017,2068,Domicílio Isolado (casa),Própria paga,0,2,3,1,25.96,0,3106705
18978,9018,2068,Domicílio Isolado (casa),Própria paga,1,0,3,1,25.96,0,3106705
18979,9019,2068,Domicílio Isolado (casa),Própria paga,0,0,3,1,25.96,1,3106705
18980,9021,2050,Domicílio Isolado (casa),Própria paga,1,1,5,1,57.88,1,3106705
18981,9022,2050,Domicílio Isolado (casa),Própria paga,2,0,5,1,57.88,1,3106705
18982,9023,2050,Domicílio Isolado (casa),Própria paga,1,0,5,1,57.88,1,3106705
18983,9024,2042,Domicílio Isolado (casa),Própria paga,0,0,5,1,26.29,0,3106705
18984,9027,2042,Domicílio Isolado (casa),Alugada,0,0,2,1,26.29,0,3106705
18985,9028,2042,Domicílio Isolado (casa),Alugada,0,0,3,1,26.29,0,3106705
18986,9029,2042,Domicílio Isolado (casa),Alugada,0,0,4,1,26.29,1,3106705
18987,9033,2067,Domicílio Isolado (casa),Própria paga,0,0,4,1,6.4,2,3106705
18988,9035,2067,Domicílio Isolado (casa),Alugada,0,0,3,1,6.4,0,3106705
18989,9036,2068,Domicílio Isolado (casa),Própria paga,1,0,3,1,25.96,0,3106705
18990,9037,2068,Domicílio Isolado (casa),Própria paga,0,1,6,1,25.96,0,3106705
18991,9038,2068,Domicílio Isolado (casa),Própria paga,0,0,4,1,25.96,0,3106705
